,0,1,2,3,4
0,98112.97,129782.04663381515,139704.39050001706,129663.79217131723,121530.0937483708
1,127893.159,135610.359262224,144941.24715991615,132726.7432904097,129857.67457239429
2,138938.871,138487.62873655854,145685.60769195989,133779.04061934035,135377.99912237827
3,139524.685,139208.75986796588,147763.49700295454,135529.53084696853,135951.50431557844
4,139875.239,139559.37239972258,146608.3108316488,134715.13412770344,136453.69524556052
5,135641.745,135325.85141475196,143076.41034797134,131297.31237990613,132236.47984131504
6,122696.745,122380.99740711194,130827.43860850707,127021.18531796006,122756.31324260865
7,137743.895,136665.831802078,144574.372229506,133833.14075210318,134210.658105779
8,141967.037,141684.5838356732,149718.85556870085,136808.6320463239,139529.57205855803
9,142831.306,143004.23257752648,149802.6500754984,137672.39281424912,142548.4687029067
10,143252.465,142937.1071195283,150906.98231266357,138094.9809244455,141391.9961232747
11,139320.516,142014.1339402183,148815.13809932588,136927.67512045027,140221.39999166984
12,137734.926,137169.18044679586,144008.45675406497,132578.1266844108,134205.5255016794
13,123426.003,122773.48034855108,130155.76520151537,126533.06733184998,122346.31295276404
14,138324.109,136006.68518225767,143580.4856545489,134554.07738695855,134784.03617497432
15,142405.036,140499.4196729179,148303.06282103714,137818.1647241338,140473.53938115673
16,143341.418,142444.11448829086,149018.58059728864,139209.63142330502,143161.93590741578
17,145550.841,143313.75005865193,150541.0614809353,139254.95655234184,142116.36561957042
18,143823.482,143220.89063505302,149524.1205245899,138670.62779876828,141372.8722466867
19,138669.794,138355.9074303695,145208.4727219037,134150.11626986804,136040.12950769838
20,121741.158,122849.12007380283,130654.91029745527,127141.25757967841,123798.93611369311
21,139010.637,136902.69325524685,144097.71333880472,135991.8790249438,135631.6466314744
22,142231.444,140878.54499190056,148313.1082377599,139115.23737563618,140820.77160829923
23,142273.596,141960.57611194393,148816.9866624723,140540.45049448422,143028.04697467832
24,142284.274,142290.79762889558,149830.22747142205,139816.81690154521,142130.36273438067
25,141304.177,140991.70903324566,148381.42651628866,139377.24941149086,141199.71120740712
26,134281.532,136098.03011851746,143617.20608497807,134481.58802590062,135520.36412796756
27,120783.437,120635.08827546929,128861.9081028676,126189.65528590878,122238.9940203402
28,135272.964,134961.20500204348,143047.4509665907,136055.11910793794,135236.97353963339
29,140053.821,139742.63892359164,147841.11918858922,139305.12896485123,140642.49069629982
30,140023.068,141365.1237228799,148869.71546120828,141084.14864167225,142492.29256087245
31,138421.969,137561.9301857157,145557.6058731501,140291.42238529283,140837.18895343546
32,138483.662,138276.64776279303,146143.03923852064,139974.62434584595,140924.2867393286
33,134707.793,134397.7812294375,141874.1591255562,131971.8727635863,134184.445763961
34,118290.883,117981.24262421866,124498.47806481793,115096.96234110754,115216.55701028803
35,114825.214,114515.94132336188,122246.83127159535,120241.87266617251,116764.58979763549
36,131358.184,129870.6770148361,137706.49696433404,134229.34676083762,133290.46906706074
37,138372.414,137616.951182581,144725.78509938784,141546.05587957188,140823.2464052011
38,140386.448,140849.2665397914,147975.45281903443,141766.73167911512,142711.51868658513
39,140402.977,140110.11191028386,147478.08988642116,142099.29440638793,142834.53558030998
40,135554.06,135246.81249554432,142075.76591726168,136192.76304065634,136844.55059521674
41,118978.942,118672.08788992341,124895.02811441997,124404.7985099196,121023.91226915292
42,134632.72,134721.54528195015,141865.35982788017,137853.9833173675,136668.8694219424
43,140766.921,140460.95010803637,147985.97796415866,142333.75994088352,143286.6466856731
44,142388.013,142781.23310637078,149568.40930893764,144881.32924586523,144798.68518390995
45,141512.758,143563.4671944827,150088.46996266322,142920.48156174622,144054.73356708896
46,143518.308,144078.30608059288,150606.69459381723,143695.9857402581,144426.99806624735
47,139855.639,139551.61261643626,146329.41689322056,138328.22866868298,139473.24266382758
48,123513.048,123209.49361281097,130391.83288616956,127481.27218318725,125267.97750743356
49,138522.284,139067.45166652955,145553.8794368292,139506.03443105592,138184.20389325655
50,145852.346,144118.40285547185,150608.6955916462,143088.8958277688,143789.0492712358
51,146222.933,146174.22450205003,152041.0685291448,145502.12958600002,145154.1346604333
52,147810.57,146336.2223919513,152073.76073001517,143311.1439419599,145049.579896833
53,149661.403,146602.69627161254,152569.4006110272,144558.66069865253,145972.56886878514
54,141560.211,142506.4293453905,148202.60336391084,139255.6120361131,141062.48468582763
55,126207.813,125908.08920588404,132581.32106519912,127725.33271248237,126712.4068900184
56,143092.742,141673.5027865773,147762.04996978526,140189.54569064296,140245.48171390023
57,148622.933,146446.14789633788,152881.72487238704,143766.42388762682,145951.67145497972
58,149761.54,148491.56589713326,154298.83176071246,146217.16308327406,146852.27649323764
59,149397.901,149100.55593891567,153107.0934350423,144551.39503859368,145738.90545314463
60,150323.211,149996.74487668037,153965.9660929117,146049.57015209156,146648.4792540729
61,145664.773,145221.05310759536,149727.07028495375,140580.0488298398,142094.41848752147
62,128626.571,127999.96053500904,133314.3077344962,128355.05848955343,127634.26957409349
63,142361.871,143724.48512967394,148436.92211226886,141486.65221630517,140699.02513717784
64,148376.867,148310.87207960468,153442.16240447527,145756.71473335,146864.0811263032
65,150250.909,149957.49368154985,155126.56671919813,148972.6127147914,148526.16618564873
66,150109.144,149734.03554743275,154559.49079528218,146845.67915530456,149278.47901506294
67,150685.403,150393.3974769995,155418.21123354803,149225.35268700568,150748.37717555073
68,147091.155,146362.6779935534,151256.6378758543,144321.90090201408,146483.04637204105
69,129480.963,130204.22669979544,135415.23483081057,131896.18102732516,131862.21005899296
70,145532.716,145242.8319631103,150753.40579583577,145635.51123053915,146352.98216467033
71,150064.213,149810.3689420177,155599.77238954158,149577.76003916477,151670.39225013444
72,150925.573,151290.7551829029,156889.16096673894,152317.03906892904,151726.02435696486
73,151671.991,151384.39896157867,156110.32865708013,149457.062938577,151440.00108996214
74,152727.028,151992.97341277738,156911.4250614517,151464.36606844736,151668.40241033077
75,145596.148,146964.78510497426,152321.25042701483,145878.65389183897,146653.43737585732
76,126597.24,126311.99023841231,131610.30851125813,132105.00381597964,128952.81488155122
77,129948.842,129664.40163022316,134896.4108127896,135459.75169286213,132382.29427102796
78,146737.407,150207.56322608842,155256.78287370515,150853.74201175082,149537.53266447238
79,153078.182,151596.34774971096,156622.3528694285,153792.27372798268,149788.06345128853
80,153012.566,152030.8738626607,156073.57819866284,151064.0287281556,150417.7199241814
81,152974.034,152001.31501034254,156533.58694899126,153427.29230574387,150660.06603908155
82,148841.112,147484.89242218356,151861.8855290457,148070.4956219316,145847.34825515238
83,131001.149,130721.69367017387,135353.2267718332,134070.1000922317,129615.32117152393
84,146240.661,145962.3839613524,150480.8468355822,148637.35394268413,144307.40951687563
85,151531.01,151253.2963148645,155538.6983730589,152815.96297440646,150057.16838007118
86,152500.144,152616.1305042036,156776.6425433481,155330.8880719127,149740.58279446093
87,153752.705,153476.74261469982,156345.53886157137,152018.76302240367,150324.3022792632
88,153709.545,153434.5532583878,156910.3603454384,153923.50769782063,150110.33126176728
89,148153.384,148129.53661502703,152123.6572207488,147915.91279659938,145500.99390375524
90,124466.231,124193.07135077534,127389.07293541358,122656.92434946564,125491.81444691011
91,140540.181,140268.444909886,142765.18294378644,137785.5645630754,139845.39652952633
92,145349.582,145077.9310268932,147449.75664207988,141476.13829882134,145025.97395497712
93,141655.222,141385.06320326513,144078.47607298178,139745.9493690649,140321.7097763036
94,127742.354,127473.17250495002,129736.85914932785,124804.00538086257,127173.54425740146
95,111518.929,111250.68091202702,114697.11399954966,117091.10873516047,113666.76631270161
96,119664.185,119396.97638567627,122783.20040443144,121211.16718567522,120797.70782731126
97,119057.71,118791.49161673027,120790.89288809992,117411.76249591356,117985.671441093
98,139902.225,141366.5446253814,143807.94718910888,139189.00346161728,140471.43871609925
99,148241.065,148866.9738184904,151135.5234721021,145546.4866846479,148351.8609070906
100,149272.449,151017.56535520212,153042.72833966464,148588.53243538007,148799.50672928672
101,150855.061,152015.39351810794,152816.73990795645,145899.62050061725,149851.55580945546
102,150615.573,151594.04264581075,153260.7737643038,148516.61269078735,148839.4048852563
103,147924.005,146406.84773714966,148411.23754908444,143037.7358806928,144553.79990360016
104,131226.098,129205.700816599,131483.38147869907,127730.11513075244,128219.3467797295
105,146240.238,145981.4368155872,147895.4471660378,144376.3478886788,144184.92758112916
106,152242.342,151986.21355696212,153787.52142305055,149996.29561746624,151461.86939971574
107,155313.782,153807.71839573074,155752.40481178177,153278.5244575184,153103.7757770597
108,152270.268,154087.28593133297,155455.98554254838,151267.8048013944,155388.399786883
109,151760.604,153169.2440733136,155576.96378356026,154334.99842672175,154875.2666375966
110,147905.347,147852.5770800862,149981.00647622315,148639.81993737523,149537.32276346965
111,131543.332,131292.42883956525,133054.53267287498,132596.65403561137,132227.13150974616
112,149229.87,146610.9506887509,148828.5332372418,148100.66424785854,147602.85880420214
113,156768.378,152333.74880948415,154002.09168969223,152620.32479710836,153282.97898131236
114,156248.827,154000.54168073353,154893.98018444865,154331.64311438016,152782.54883848468
115,155878.709,153667.11484798347,153254.9193805022,150984.16195032347,152428.23251481075
116,153288.531,153043.15604159757,152658.30779360098,152691.14605389923,149902.12645766014
117,147278.755,147035.16650173024,146602.69077379236,146180.04361177364,144029.53975417386
118,127534.102,129722.52449450264,128901.72361611259,129162.27207644994,126430.03698240107
