,0,1,2,3,4
0,98112.97,127200.08220892002,134799.8314361975,117677.46876552343,123158.22786242637
1,127893.159,134034.9212640717,139553.00363878033,127989.92938180732,128440.38490825416
2,138938.871,137964.43166966917,140094.1211342551,134536.79592546943,131882.8292034
3,139524.685,138550.62973880587,141796.81350831798,135123.31764342048,133229.38656569127
4,139875.239,138901.67655469608,140954.99286931343,135788.28658012406,132790.4640596013
5,135641.745,134668.78142752193,137309.7280799483,131242.40033903977,129586.11014489408
6,122696.745,121724.48411655703,125480.76703534804,121431.95962471435,122813.22064819177
7,137743.895,135841.08225222444,138896.7428763503,133347.3674847053,130737.5166883562
8,141967.037,140996.51280882978,143904.72405618877,139396.4358948461,134821.7057263131
9,142831.306,142632.12773756572,143787.8709107842,142566.8298429224,137302.34377080746
10,143252.465,142284.10458833945,144375.34400454242,141091.2131537771,136575.69818980742
11,139320.516,141599.82823152278,142658.69780177125,140030.76438062874,135213.7303370332
12,137734.926,136740.787348548,138108.88547192563,133615.6378885888,130747.24037433506
13,123426.003,122166.51570314915,124618.63463314528,121366.39558355568,121935.11990387642
14,138324.109,135430.81834871066,137546.6049717636,133943.56574959145,131326.32199352334
15,142405.036,139958.94544571987,142296.98010867892,140116.40592737234,136105.00984999488
16,143341.418,142048.0589823202,143134.61497625062,142890.93945425184,139279.85423242286
17,145550.841,142700.68988971104,144236.91851957818,141568.99420447907,138327.5761125632
18,143823.482,142670.9806859875,143477.69622041978,141198.46545070838,137776.19075152453
19,138669.794,137716.48593149794,139285.33376841756,135858.3343996721,133164.2386179211
20,121741.158,122093.57120677628,125296.14259195137,123237.96154587627,123520.69715542812
21,139010.637,136157.94033333313,138657.72029699807,134817.29102601908,133861.08216263575
22,142231.444,140353.4167254083,142898.8680661627,140161.0642224269,138161.89269688504
23,142273.596,141329.77869643387,143339.71248569095,142390.09007189,141074.82694677185
24,142284.274,141385.86279082613,143716.78101460455,141259.61042112633,139152.20780290474
25,141304.177,140365.73983926812,142520.48234838786,140716.30045596382,138587.81138923828
26,134281.532,135548.73742025896,138123.17869698867,135014.32187876027,133578.40027250058
27,120783.437,119850.80584874346,123704.35170167222,121446.35248454603,122591.04486958872
28,135272.964,134343.41488195027,137417.53043070776,134144.30686695492,133905.36880888802
29,140053.821,139152.8290083712,142293.6641699202,139814.49656982906,138382.4317426859
30,140023.068,140599.48835558473,143555.72427709607,141571.07978392465,141756.23700233625
31,138421.969,136477.86079033895,140554.5087870361,139203.59528480575,138912.76301172335
32,138483.662,137567.4807794594,141102.9306375137,140044.36670353546,138794.30931815854
33,134707.793,133795.1712561229,136807.907240419,133472.20953193534,130976.47728463952
34,118290.883,117381.99971166214,119366.3273014151,114008.79200189208,112142.13958440072
35,114825.214,113920.1617888479,116826.82978034181,116406.28600377029,116522.26618874067
36,131358.184,129439.58663706211,132787.89347095098,132771.38563847955,131878.276884785
37,138372.414,136710.8223221211,140046.35430351627,139967.93463167315,140886.83319820417
38,140386.448,139781.39977985862,142700.7583112908,141646.7803110857,140049.94703231755
39,140402.977,139514.24735270883,142189.45483028807,142013.98810020456,140428.8865278267
40,135554.06,134669.75694392022,137074.30482798244,134916.81270186816,134668.47464667077
41,118978.942,118099.02168192828,119979.42026461526,116632.2405971537,120898.21942766645
42,134632.72,134052.81903618496,136639.81848928644,134061.76890539326,135109.670302198
43,140766.921,139896.31418181554,142786.98644170802,142327.4330020155,140301.2131465633
44,142388.013,141944.67655527394,144648.50949650048,144040.6845468081,144232.31354427975
45,141512.758,142769.07457038428,144852.82415209393,143174.33320872724,141063.78436883586
46,143518.308,143634.27087950284,145293.08897891655,144165.00363282504,141917.5455408295
47,139855.639,139004.80776945426,141093.32587861808,139273.6624743978,136370.42725622753
48,123513.048,122667.42788890017,125401.37586309804,124914.89667271034,123165.11271567449
49,138522.284,138572.50881824954,140743.8667390725,137189.19651937016,136637.12250666792
50,145852.346,144136.30700619175,145722.03859342608,143223.9925007076,141037.7962429983
51,146222.933,146031.6261662178,147170.90265776397,144414.20787406035,144826.7377706031
52,147810.57,146249.2476256683,146844.43597551063,144192.18525393892,141408.11723845513
53,149661.403,147003.33157720504,147260.0330362897,145545.7036550797,142755.68939964153
54,141560.211,142880.8048582278,143116.93003270513,140440.38695740496,137416.9923966941
55,126207.813,125401.71969879323,127461.58265550456,126078.04424602575,123743.96012260404
56,143092.742,141889.69862221807,142613.35247864464,139009.77994347122,137409.41777593017
57,148622.933,146892.01284897342,147769.34782427823,145380.61806574778,141830.71602980132
58,149761.54,148974.01347365807,149522.26085602876,145914.39799336222,145743.26905807378
59,149397.901,148616.76692441857,148280.52151876022,145378.3522839371,142963.93237420183
60,150323.211,149548.5955402204,149082.5376426677,146286.58452213265,144644.05556303306
61,145664.773,144855.81682134845,144875.12582689873,141640.06601319453,139056.7465475081
62,128626.571,127865.2587879871,128686.0629438179,127266.40817952111,124918.40417898732
63,142361.871,142874.69588264034,144285.9668802403,139276.74155763065,139438.94403833707
64,148376.867,147707.21458282188,149359.17487850727,146018.3757869916,144472.4740344
65,150250.909,149510.4329320477,151199.2761581544,147768.47058873106,149150.7566228632
66,150109.144,149375.82581800534,150618.98482564624,148400.90488406917,145993.08120245766
