,0,1,2,3,4
0,98112.97,-8709241648.339157,145022.36767522636,-968641818.8592649,139167.91662887423
1,127893.159,-8706792217.401602,145022.35890741085,-968496921.2371278,139169.6715329469
2,138938.871,-8703105950.26607,145021.82084342817,-968263726.4865388,139171.725617339
3,139524.685,-8698145758.574505,145020.84690132018,-967938554.6800922,139174.24645452396
4,139875.239,-8692070615.495558,145019.2140397351,-967527523.4437946,139176.69237223183
5,135641.745,-8685020367.899094,145016.65696559878,-967035714.8325473,139178.61909966587
6,122696.745,-8677085211.423538,145013.12798193275,-966458775.8687828,139180.16543070666
7,137743.895,-8665440818.434568,145012.74129381447,-965746557.4552516,139188.94708860113
8,141967.037,-8653526714.544167,145010.51563439477,-964963200.2807089,139195.43005378186
9,142831.306,-8640870086.71849,145006.93675156057,-964100697.6221935,139200.79129263776
10,143252.465,-8627028384.37005,145002.84084879514,-963142503.3475595,139206.49111518697
11,139320.516,-8612303470.539227,144997.7750332216,-962105248.3607963,139211.36895255581
12,137734.926,-8596827914.168903,144991.38863997205,-960995922.2816786,139214.95088946185
13,123426.003,-8580637341.877386,144983.82173008326,-959801586.6406451,139217.96074218667
14,138324.109,-8558463135.165153,144982.74368054318,-958431990.5236416,139234.42146414384
15,142405.036,-8537014722.065014,144978.39305675155,-957010669.0645963,139245.73665575814
16,143341.418,-8515357586.10943,144971.81061808227,-955519921.6493624,139254.39158192294
17,145550.841,-8492559654.463115,144964.68689545983,-953929606.5402349,139263.3326464867
18,143823.482,-8469104191.195172,144956.28850508112,-952267382.4481905,139270.6989310285
19,138669.794,-8445140364.733245,144946.1477859222,-950542254.8063095,139275.9384946664
20,121741.158,-8420664179.026543,144934.5781199169,-948732519.6911144,139280.3477612808
21,139010.637,-8387902538.409647,144932.88168930123,-946702711.5225561,139304.70034372606
22,142231.444,-8356976509.199376,144926.3355156928,-944641857.0374317,139320.84205327713
23,142273.596,-8326378221.310163,144916.68463579018,-942521273.2476139,139332.82332554332
24,142284.274,-8294684096.505175,144906.46939610728,-940296798.6215934,139345.0632382855
25,141304.177,-8262570807.469467,144894.65817684427,-938007525.8434584,139354.96136252774
26,134281.532,-8230190820.320276,144880.6815543741,-935664447.9441769,139361.90257466285
27,120783.437,-8197487005.242994,144865.04774618024,-933236978.9244666,139367.7859795298
28,135272.964,-8154183748.250074,144862.67251066823,-930550421.4511701,139399.79588473754
29,140053.821,-8113803768.637256,144853.89335774764,-927853919.0521225,139420.52770369154
30,140023.068,-8074212713.704473,144841.22926300464,-925106668.5211046,139435.72816609385
31,138421.969,-8033693814.7569065,144827.81041856238,-922251851.5729007,139450.88498461188
32,138483.662,-7992868036.054692,144812.630940379,-919341133.1959274,139463.1521082064
33,134707.793,-7952025648.179675,144794.84908370537,-916385984.8666223,139471.60346936068
34,118290.883,-7911056117.196063,144775.17331802344,-913346510.8190855,139478.7655193154
35,114825.214,-7857142439.651122,144772.19763957622,-910000688.8330828,139518.75708483753
36,131358.184,-7807301156.703416,144761.1901315828,-906666472.5501317,139544.3325596659
37,138372.414,-7758756654.108969,144745.4625604493,-903290611.8557242,139562.94525749955
38,140386.448,-7709190562.261826,144729.14445055687,-899802323.5273303,139581.7708247287
39,140402.977,-7659716282.306765,144710.54062982116,-896264582.8602755,139596.62226601434
40,135554.06,-7610480521.983208,144688.89080858364,-892691894.9404974,139606.78644019095
41,118978.942,-7561307267.546913,144665.12383566974,-889035087.7313751,139615.44353224908
42,134632.72,-7496641549.279859,144661.72670294179,-885030927.6708076,139663.49966120764
43,140766.921,-7437330490.538347,144648.49692878622,-881062965.099681,139693.6175533754
44,142388.013,-7379833732.655808,144629.70287384532,-877063290.88117,139715.2942328247
45,141512.758,-7321397249.084527,144610.25265246845,-872947836.7984256,139737.05986662957
46,143518.308,-7263345461.209796,144588.12589503167,-868791392.8255551,139753.95272667008
47,139855.639,-7205758968.815494,144562.54338420133,-864608875.8800251,139765.35132275088
48,123513.048,-7148397639.034025,144534.65869552013,-860341349.3900927,139775.11840504798
49,138522.284,-7073182107.148735,144530.60423718012,-855676561.6703532,139831.11626704357
50,145852.346,-7004538850.870725,144514.9977357449,-851070344.7202361,139865.87144858364
51,146222.933,-6938200236.053588,144493.02006230416,-846440923.5449525,139890.81739782557
52,147810.57,-6870883394.815743,144470.47071609646,-841689705.1237532,139916.01583093888
53,149661.403,-6804190367.548333,144444.9177332463,-836904782.9952115,139935.56045735843
54,141560.211,-6738225133.103727,144415.4520031501,-832103509.202486,139948.7045741451
55,126207.813,-6672686642.753989,144383.4406472489,-827217060.8986292,139959.94678894512
56,143092.742,-6586753552.101931,144378.93418232014,-821895501.5595365,140023.9163991119
57,148622.933,-6508631751.189087,144361.11412271083,-816656121.6525111,140063.1830503666
58,149761.54,-6433316063.9517975,144336.10200382222,-811403184.1453525,140091.19615811118
59,149397.901,-6355919672.503157,144312.03080269517,-806024008.7625797,140121.00975267682
60,150323.211,-6280533694.840883,144283.09860391766,-800619318.9157732,140142.77050188836
61,145664.773,-6206135746.047921,144249.79827244597,-795207634.3842754,140157.2454331245
62,128626.571,-6132309992.278339,144213.80501550823,-789709743.4796271,140169.77898895167
63,142361.871,-6035551244.399513,144208.97616982087,-783719705.8149631,140242.2903952817
64,148376.867,-5947831699.640971,144189.106020066,-777833281.6358736,140286.76813837225
65,150250.909,-5863431500.260445,144161.21301023115,-771941918.024445,140318.58970313802
66,150109.144,-5778085359.687743,144132.78403812106,-765918884.0448241,140350.72801380648
67,150685.403,-5693951333.962793,144100.55981597168,-759878976.1808903,140375.400398907
68,147091.155,-5611097390.955264,144063.47044667558,-753842466.6958375,140391.80124724258
69,129480.963,-5528991271.150682,144023.4937734158,-747719624.1400925,140406.0783516488
70,145532.716,-5421306279.292131,144018.46007540595,-741067044.569442,140486.90849288885
71,150064.213,-5324092075.152937,143996.38623436127,-734547080.9328185,140535.86987072616
72,150925.573,-5230700233.424032,143965.47028693956,-728031891.8218498,140570.73459993707
73,151671.991,-5136362394.335102,143934.05668083124,-721380172.7993755,140605.96774349062
74,152727.028,-5043528230.722025,143898.45155001467,-714720040.7940546,140632.83004491706
75,145596.148,-4952186241.169249,143857.58034815246,-708071824.6308748,140650.6335638232
76,126597.24,-4861778898.962494,143813.59761005812,-701335120.5785455,140666.13563074588
77,129948.842,-4743293781.778742,143808.2186512587,-694013787.2444465,140755.6358115863
78,146737.407,-4636616494.893998,143783.95071475653,-686850932.139575,140809.64002761667
79,153078.182,-4534342811.351426,143749.9124350916,-679701582.3077998,140848.02129076817
80,153012.566,-4431126218.949699,143715.41359268263,-672410207.8546317,140886.8559697303
81,152974.034,-4329724695.041074,143676.3025798248,-665119336.1838148,140916.3721658952
82,148841.112,-4230069959.249173,143631.46973621595,-657850395.0898443,140935.90946704356
83,131001.149,-4131431575.066407,143583.4727285084,-650492348.2101243,140953.2165206648
84,146240.661,-4002176441.57557,143577.69525210268,-642513909.3331795,141050.63957930377
85,151531.01,-3886118162.4135447,143551.0664092656,-634720211.6109229,141108.82350887728
86,152500.144,-3774918983.329276,143513.93168532386,-626950129.5906696,141150.0491695791
87,153752.705,-3662771546.2712383,143476.38448361188,-619033138.846312,141191.79388338924
88,153709.545,-3552752687.2134438,143433.80077296545,-611125656.4222983,141223.26609213764
89,148153.384,-3444730975.342888,143385.04386209545,-603249309.5914035,141243.88497633633
90,124466.231,-3338533927.1486826,143331.8356235165,-595281910.8070636,141260.6582853463
91,140540.181,-3198752160.302951,143325.3767614853,-586638555.5143459,141366.19197533783
92,145349.582,-3073452116.1100197,143296.2454174682,-578202950.2357388,141429.02617173817
93,141655.222,-2953492045.215171,143255.81989164127,-569798562.7196503,141473.5758187033
94,127742.354,-2832564134.379633,143215.03619822284,-561240747.0208206,141518.71815914992
95,111518.929,-2714033416.3496485,143168.8272093391,-552704475.7369894,141552.66254289186
96,119664.185,-2597706924.0471783,143116.04209636032,-544210968.7300739,141575.01684570676
97,119057.71,-2482620705.4722595,143059.89297968472,-535625022.50169605,141595.2409377084
98,139902.225,-2332099048.189579,143052.9751271315,-526332540.50743026,141708.6958809957
99,148241.065,-2197246340.542968,143021.67602324692,-517271957.9464777,141775.9938173574
100,149272.449,-2068249076.9163332,142978.25558783993,-508252622.48000413,141823.544123938
101,150855.061,-1938245295.974598,142934.5757878879,-499074754.9138334,141871.8783277218
102,150615.573,-1811013346.1366205,142884.98584225844,-489924836.92890114,141907.98809045128
103,147924.005,-1686284632.029827,142828.30658600072,-480825510.9081749,141931.42735160183
104,131226.098,-1562964894.279004,142768.08560925472,-471631295.6015054,141952.60509611602
105,146240.238,-1401700698.3601656,142760.7431219629,-461670175.3082794,142074.57233706978
