,0,1,2,3,4
0,98112.97,536135607.54109335,165574.6670394534,-1013684302.5441402,153445.97190684787
1,127893.159,536110335.89598525,165570.46652670484,-1013519180.7886755,153444.89913541358
2,138938.871,535993497.7964055,165562.72671388896,-1013250562.8281733,153442.17806460074
3,139524.685,535794363.75442284,165551.52105543457,-1012875749.0923877,153438.00725056374
4,139875.239,535475262.78682,165536.4913982312,-1012404734.0365596,153431.80306158258
5,135641.745,535012827.93066967,165517.30115574872,-1011832454.3785403,153423.0628332367
6,122696.745,534394048.48041844,165493.91890176467,-1011159880.3126537,153411.9144555444
7,137743.895,534197747.1732409,165472.81260685375,-1010348033.1683261,153406.79250211068
8,141967.037,533717592.6174778,165446.05364246128,-1009447354.4661243,153397.18371272416
9,142831.306,533038060.79276675,165414.52758650907,-1008449240.4002693,153384.35289698155
10,143252.465,532260540.30964315,165379.3064691356,-1007342203.1645137,153369.96228581623
11,139320.516,531309576.63343865,165339.72426150632,-1006151506.0885391,153352.7459830553
12,137734.926,530171818.482884,165295.42342057047,-1004859493.7713735,153332.13330474292
13,123426.003,528849472.26601,165246.67757097987,-1003467682.1891896,153308.87001508195
14,138324.109,528414204.84496105,165205.43361729194,-1001904857.8553826,153298.44263276906
15,142405.036,527489842.4059426,165156.21486911652,-1000268433.0813752,153280.37536083776
16,143341.418,526248309.36506444,165100.89216436158,-998540868.6973408,153257.37033004375
17,145550.841,524900272.5919289,165041.71084523018,-996701277.5325843,153232.76186874928
18,143823.482,523325404.5708499,164977.62698109716,-994790619.4103082,153204.51757844005
19,138669.794,521516011.7715753,164908.21896932833,-992778829.4650106,153171.95144039465
20,121741.158,519487297.56486905,164834.0502603788,-990668071.8865222,153136.42180245166
21,139010.637,518829282.9075718,164772.8484611733,-988352719.3925499,153120.9679013928
22,142231.444,517457411.53123134,164701.1641830088,-985980469.2388067,153094.5108013986
23,142273.596,515653050.64793044,164622.07823926784,-983523776.6722457,153061.463167481
24,142284.274,513735133.445074,164538.9912689732,-980951873.5627182,153026.81060031577
25,141304.177,511535555.52432114,164450.4491329108,-978321578.5145074,152987.70617762778
26,134281.532,509053995.2009735,164355.9788464679,-975590261.3981131,152943.3570416771
27,120783.437,506320683.7170384,164256.45575461077,-972760658.8213325,152895.76113538092
28,135272.964,505422223.2565889,164175.08927654906,-969694230.839489,152874.9449964739
29,140053.821,503586296.66848844,164080.73005774277,-966587408.7708042,152839.73191524614
30,140023.068,501214331.31900024,163977.77856184455,-963401822.0317019,152796.38989057386
31,138421.969,498694947.74401075,163870.40417925123,-960097971.1604569,152751.1646203403
32,138483.662,495861807.1951955,163757.23101056952,-956749030.258542,152700.85543316815
33,134707.793,492697419.7206113,163637.50366449583,-953299313.5596989,152644.34730409036
34,118290.883,489248303.31930053,163512.4299092866,-949752080.8984208,152584.31608151447
35,114825.214,488132870.8686686,163411.1551801659,-945933367.2886347,152558.5938063922
36,131358.184,485848123.63959587,163294.30998568196,-942091643.0421058,152515.0356509112
