,0,1,2,3,4
0,98112.97,123665.392317319,121788.47972262917,133645.77545694454,123921.82981053519
1,127893.159,133168.00824192842,132624.13380417385,136420.71680317278,134288.51537148308
2,138938.871,139195.79268568434,138635.98584801337,137298.83551470636,141267.00406013834
3,139524.685,139794.03325912732,140128.5693678472,138791.16796132136,142355.98182383867
4,139875.239,140144.32595687849,140428.8098137491,137836.7900380062,142183.87651660922
5,135641.745,135910.51172597834,136372.75071398032,134184.67342694258,138011.32986367395
6,122696.745,122964.99950977312,123418.6691690153,130323.2809929173,125947.07133809339
7,137743.895,137410.54966902582,137142.18892450168,137083.1502418582,140072.34337584046
8,141967.037,142234.2744477775,142699.60539438543,139916.6594469334,144912.58824632058
9,142831.306,144351.50485350777,144317.64892003243,140776.9098356183,148490.49879672265
10,143252.465,143518.46314949388,143983.6343126435,141193.71274792112,147486.8354359094
11,139320.516,142869.08069223678,143082.31454456784,140144.17134077338,145844.60473279492
12,137734.926,137999.19090635912,138215.69872521242,135706.70604049292,140029.6026759906
13,123426.003,123689.56526016339,123980.59630621913,130196.83229774328,126076.44859812674
14,138324.109,137056.49794193706,137071.3551401022,137999.7527104179,140106.82259352144
15,142405.036,141519.13678992912,142149.437196828,140905.43785307687,144698.5093240924
16,143341.418,143601.92799757197,143877.9554556376,142228.97025375863,148220.1305295174
17,145550.841,144133.76010277553,144621.25548866083,142220.7732683345,147676.4487543116
18,143823.482,144081.66500296883,144355.65734490802,141714.3042437986,147532.55682391673
19,138669.794,139069.24602710683,139382.37417282417,137059.65724759822,142401.00018763333
20,121741.158,123261.1855302093,123784.28641377311,130511.5441007841,127901.70129190723
21,139010.637,137464.9128076723,137690.42284959217,139140.68698822305,141184.3635436466
22,142231.444,141775.2024031048,142414.0866622908,141944.62832707103,144341.59566902692
23,142273.596,142497.9603830033,142794.73054595606,143366.88335397013,147498.41576574644
24,142284.274,142533.90407348878,142986.5805120112,142666.23329792244,146839.04657053913
